Extracted,Edition,Link,Name,Note
TRUE,1,https://hackforums.net/showthread.php?tid=423656,HF News Week - 5/09-5/16 [FIRST] [COMMENT],
TRUE,2,https://hackforums.net/showthread.php?tid=434536,HF News Week (5/16-5/23) [COMMENT],
TRUE,3,https://hackforums.net/showthread.php?tid=450222,HF News Week 5/23 - 5/30 [THIRD] [COMMENT],
TRUE,4,https://hackforums.net/showthread.php?tid=464165,HF News - [5/30-6/6] [COMMENT] [FOURTH],
TRUE,5,https://hackforums.net/showthread.php?tid=476704,[6/6-6/13] HF News [HEADLINE FILLED!] [COMMENT],
TRUE,6,https://hackforums.net/showthread.php?tid=491136,[6/13 - 6/19] HF News Week! [COMMENT],
TRUE,7,https://hackforums.net/showthread.php?tid=504802,[6/20-6/26] HF News Week! [COMMENT],
TRUE,8,https://hackforums.net/showthread.php?tid=521690,HF News [Minor edition] [6/26 - 7/3],Quiet week
TRUE,8.1,https://hackforums.net/showthread.php?tid=540606,HF News [7/4-7/11] [late] [COMMENT],
TRUE,9,https://hackforums.net/showthread.php?tid=551162,"HF News [7/10-7/17] [COMMENT] [edition made by Robbieava, thanks]",
TRUE,10,https://hackforums.net/showthread.php?tid=563975,HF News [7/17-7/24] [COMMENT],
TRUE,11,https://hackforums.net/showthread.php?tid=585221,[7/25-8/1] HF News,
TRUE,12,https://hackforums.net/showthread.php?tid=614411,[8/7-8/13] No news this week,Quiet week
TRUE,12.1,https://hackforums.net/showthread.php?tid=607489,[8/1-8/7] HF News,
TRUE,12.2,https://hackforums.net/showthread.php?tid=607941,[8/13] HF News - INTERACTIVE TUESDAYS! [huge edition!] [INTERVIEW WITH BACKSLASH!],Interactive Tuesday
TRUE,13,https://hackforums.net/showthread.php?tid=676131,[13/09/2010] HF News,
FALSE,14,,,MISSING
FALSE,15,,,MISSING
FALSE,16,https://hackforums.net/showthread.php?tid=693130,[9/15/2010] - HF News,
FALSE,17,https://hackforums.net/showthread.php?tid=706863,[9/22/2010] - HF News,
FALSE,18,https://hackforums.net/showthread.php?tid=722633,[9/30/2010] - HF News,
